Topic,Description,Research Area,Opportunity Timing,Deadline Date
Oak Ridge National Laboratory Science Undergraduate Laboratory Internships,This program encourages undergraduates and recent associate and bachelor’s graduates to pursue STEM careers by providing research experiences at a DOE laboratory.,Science & Technology,"Fall, Spring, Summer",1/8/25
Science Undergraduate Laboratory Internships (SULI),"In this comprehensive internship, you’ll be mentored by a leading science expert who will guide you in a specific research area to gain maximum exposure to one of the many science and technology areas that underpin the U.S. Department of Energy’s (DOE’s) diverse missions.",Science & Technology,"Fall, Spring, Summer",1/9/25
Air Force Research Laboratory (AFRL) Scholars Program,AFRL Scholars Program offers opportunities to undergraduates pursuing STEM degrees. Application deadline dates differ per program. Selected interns gain valuable hands-on experiences working with full-time AFRL scientists and engineers on cutting-edge research and technology.,Science & Technology,Summer,Anticipated 1/9/25
Caltech WAVE Fellows Program,"The WAVE Fellows provides support for undergraduate students, who are underrepresented in STEM and intent on pursuing a Ph.D., to conduct a 10-week summer research project. A wide range of research opportunities are available from biology, chemistry, and engineering to environmental science, sustainability, humanities, and social science.","Medicine & Health, Natural Sciences, Science & Technology",Summer,1/10/25
Broad Summer Research Program (BSRP),This program is a summer research opportunity designed for undergraduates with a commitment to biomedical research and an interest in genomics.,"Medicine & Health, Natural Sciences, Science & Technology",Summer,1/10/25
Diverse Voices in Science Journalism Internship,"This summer program is designed for undergraduate students who are deeply committed to diversity and interested in pursuing journalism as a career. Interns spend 10 weeks working in the news room at Science magazine, covering the scientific and technological issues that shape our global community.","Humanities & Arts, Natural Sciences, Science & Technology",Summer,1/10/25
Caltech LIGO Summer Research,"The Caltech LIGO Summer Undergraduate Research Fellowships (SURF) program invites undergraduate students in physics, astronomy, and engineering to engage in gravitational-wave astronomy research at Caltech or LIGO observatories. Students will pursue research projects under mentorships from various scientists and engineers.","Natural Sciences, Science & Technology",Summer,1/11/25
"Algebra, Analysis, and Combinatorics REU at UT Tyler","In this eight-week program, students will focus on topics like integer partitions, mathematical modeling, and inverse semigroups. Students will work closely with faculty to learn how to conduct mathematical research, write professional articles, and present research findings.",Natural Sciences,Summer,1/11/25
Data Science Institute Summer Lab,"DSI Summer Lab is an immersive research opportunity for undergraduates, pairing them with data science mentors for rigorous, applied, and interdisciplinary research within a cohort community setting.","Data Science, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,1/12/25
Undergraduate Complexity Research (UCR) REU,"Unlock the world of complex systems science in the Santa Fe Institute's (SFI) UCR program. Students will learn how to combine theory, methods, and data from the physical, natural, and social sciences to ask big questions about real-world complex systems using the rigorous methods employed at SFI.","Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,1/14/25
Cold Spring Harbor Laboratory Undergraduate Research Program,"The Undergraduate Research Program (URP) at Cold Spring Harbor Laboratory (CSHL) is available to sophomores and juniors interested in the following: Molecular Biology & Cancer, Genetics & Genomics, Neuroscience, Plant Biology, and Quantitative Biology. Students come to CSHL for a 10-week summer program where they will work in a lab, attend workshops, and work among CSHL scientists.","Medicine & Health, Natural Sciences, Science & Technology",Summer,1/15/25
The Museum Seminar (MuSe) Internship Program at the MET,"MuSe at The Met provides a ten-week, interdisciplinary experience for undergraduates interested in the arts. Interns work in various museum departments, participate in weekly seminars, and engage with visitors through tours and programs, gaining valuable skills and insight into museum operations.",Humanities & Arts,Summer,1/15/25
Injury Science Research Experience for Undergraduates (REU),"This REU provides underrepresented students with hands-on research experience in the fields of engineering, behavioral and population science, education, and statistics. With mentoring from pediatric researchers, students will participate in fundamental research on the causes and consequences of child injury.","Medicine & Health, Social Sciences & Behavior",Summer,1/15/25
ThinkSwiss Research Scholarship,"ThinkSwiss is a scholarship program managed by the Science Office at the Embassy of Switzerland in Washington, D.C. The program is funded by the State Secretariat for Education, Research and Innovation (SERI) and is supported by the Embassy of Switzerland in Ottawa, Canada. The aim of the program is to promote research opportunities in Switzerland for American and Canadian students and to foster exchange between Swiss, U.S., and Canadian universities and research institutions.","Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior","Fall, Summer, Winter",1/15/25
Summer Undergraduate Science Communication Fellowship,The CAICE  provides students with research experiences in science communication. Students are paired with a faculty mentor and work closely with researchers to create engaging and accessible science communication that conveys CAICE science to diverse audiences. Students receive a stipend and attend professional development seminars & symposiums.,"Science & Technology, Social Sciences & Behavior",Summer,Anticipated 1/15/25
