Topic,Description,Detail URL,Research Area,Opportunity Timing,Deadline Date,Sponsoring Institution,Location,Duration,Compensation,Citizenship Requirement
Broad Summer Research Program (BSRP),This program is a summer research opportunity designed for undergraduates with a commitment to biomedical research and an interest in genomics.,https://researchops.web.illinois.edu/opportunity/broad-summer-research-program-bsrp,"Medicine & Health, Natural Sciences, Science & Technology",Summer,1/10/25,Broad Institute,"Cambridge, MA",9 weeks,"$5,400","US Citizen, National, or Permanent Resident required"
Science Undergraduate Laboratory Internships (SULI),"In this comprehensive internship, you’ll be mentored by a leading science expert who will guide you in a specific research area to gain maximum exposure to one of the many science and technology areas that underpin the U.S. Department of Energy’s (DOE’s) diverse missions.",https://researchops.web.illinois.edu/opportunity/science-undergraduate-laboratory-internships-suli,Science & Technology,"Fall, Spring, Summer",1/9/25,US Department of Energy,"Washington, DC",10 weeks,"$6,500","US Citizen, National, or Permanent Resident required"
Air Force Research Laboratory (AFRL) Scholars Program,AFRL Scholars Program offers opportunities to undergraduates pursuing STEM degrees. Application deadline dates differ per program. Selected interns gain valuable hands-on experiences working with full-time AFRL scientists and engineers on cutting-edge research and technology.,https://researchops.web.illinois.edu/opportunity/air-force-research-laboratory-afrl-scholars-program,Science & Technology,Summer,Anticipated 1/9/25,Universities Space Research Association,"Washington, DC",,,"US Citizen, National, or Permanent Resident required"
Caltech WAVE Fellows Program,"The WAVE Fellows provides support for undergraduate students, who are underrepresented in STEM and intent on pursuing a Ph.D., to conduct a 10-week summer research project. A wide range of research opportunities are available from biology, chemistry, and engineering to environmental science, sustainability, humanities, and social science.",https://researchops.web.illinois.edu/opportunity/caltech-wave-fellows-program,"Medicine & Health, Natural Sciences, Science & Technology",Summer,1/10/25,Caltech,"Pasadena, CA",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Oak Ridge National Laboratory Science Undergraduate Laboratory Internships,This program encourages undergraduates and recent associate and bachelor’s graduates to pursue STEM careers by providing research experiences at a DOE laboratory.,https://researchops.web.illinois.edu/opportunity/oak-ridge-national-laboratory-science-undergraduate-laboratory-internships,Science & Technology,"Fall, Spring, Summer",1/8/25,Department of Energy,"Oak Ridge, TN",10 weeks,,"US Citizen, National, or Permanent Resident required"
Caltech LIGO Summer Research,"The Caltech LIGO Summer Undergraduate Research Fellowships (SURF) program invites undergraduate students in physics, astronomy, and engineering to engage in gravitational-wave astronomy research at Caltech or LIGO observatories. Students will pursue research projects under mentorships from various scientists and engineers.",https://researchops.web.illinois.edu/opportunity/caltech-ligo-summer-research,"Natural Sciences, Science & Technology",Summer,1/11/25,California Institute of Technology,Varies,10 Weeks,,No Citizenship Requirements
Diverse Voices in Science Journalism Internship,"This summer program is designed for undergraduate students who are deeply committed to diversity and interested in pursuing journalism as a career. Interns spend 10 weeks working in the news room at Science magazine, covering the scientific and technological issues that shape our global community.",https://researchops.web.illinois.edu/opportunity/diverse-voices-science-journalism-internship,"Humanities & Arts, Natural Sciences, Science & Technology",Summer,1/10/25,AAAS,"Washington, DC",11 weeks,,No Citizenship Requirements
Data Science Institute Summer Lab,"DSI Summer Lab is an immersive research opportunity for undergraduates, pairing them with data science mentors for rigorous, applied, and interdisciplinary research within a cohort community setting.",https://researchops.web.illinois.edu/opportunity/data-science-institute-summer-lab,"Data Science, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,1/12/25,University of Chicago,"Chicago, IL",8 weeks,"$4,800",No Citizenship Requirements
"Algebra, Analysis, and Combinatorics REU at UT Tyler","In this eight-week program, students will focus on topics like integer partitions, mathematical modeling, and inverse semigroups. Students will work closely with faculty to learn how to conduct mathematical research, write professional articles, and present research findings.",https://researchops.web.illinois.edu/opportunity/algebra-analysis-and-combinatorics-reu-ut-tyler,Natural Sciences,Summer,1/11/25,University of Texas at Tyler,"Tyler, TX",8 weeks,"$5,600","US Citizen, National, or Permanent Resident required"
Undergraduate Complexity Research (UCR) REU,"Unlock the world of complex systems science in the Santa Fe Institute's (SFI) UCR program. Students will learn how to combine theory, methods, and data from the physical, natural, and social sciences to ask big questions about real-world complex systems using the rigorous methods employed at SFI.",https://researchops.web.illinois.edu/opportunity/undergraduate-complexity-research-ucr-reu,"Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,1/14/25,Santa Fe Institute,"Santa Fe, NM",10 weeks,"$7,000",No Citizenship Requirements
Summer Undergraduate Science Communication Fellowship,The CAICE  provides students with research experiences in science communication. Students are paired with a faculty mentor and work closely with researchers to create engaging and accessible science communication that conveys CAICE science to diverse audiences. Students receive a stipend and attend professional development seminars & symposiums.,https://researchops.web.illinois.edu/opportunity/summer-undergraduate-science-communication-fellowship,"Science & Technology, Social Sciences & Behavior",Summer,Anticipated 1/15/25,NSF Center for Aerosol Impacts on Chemistry of the Environment,"San Diego, CA",10 weeks,"$5,500","US Citizen, National, or Permanent Resident required"
Injury Science Research Experience for Undergraduates (REU),"This REU provides underrepresented students with hands-on research experience in the fields of engineering, behavioral and population science, education, and statistics. With mentoring from pediatric researchers, students will participate in fundamental research on the causes and consequences of child injury.",https://researchops.web.illinois.edu/opportunity/injury-science-research-experience-undergraduates-reu,"Medicine & Health, Social Sciences & Behavior",Summer,1/15/25,Children's Hospital of Philadelphia Research Institute,"Philadelphia, PA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
ThinkSwiss Research Scholarship,"ThinkSwiss is a scholarship program managed by the Science Office at the Embassy of Switzerland in Washington, D.C. The program is funded by the State Secretariat for Education, Research and Innovation (SERI) and is supported by the Embassy of Switzerland in Ottawa, Canada. The aim of the program is to promote research opportunities in Switzerland for American and Canadian students and to foster exchange between Swiss, U.S., and Canadian universities and research institutions.",https://researchops.web.illinois.edu/opportunity/thinkswiss-research-scholarship,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior","Fall, Summer, Winter",1/15/25,Various Swiss Universities,Switzerland,8 weeks,"$3,600",No Citizenship Requirements
The Museum Seminar (MuSe) Internship Program at the MET,"MuSe at The Met provides a ten-week, interdisciplinary experience for undergraduates interested in the arts. Interns work in various museum departments, participate in weekly seminars, and engage with visitors through tours and programs, gaining valuable skills and insight into museum operations.",https://researchops.web.illinois.edu/opportunity/museum-seminar-muse-internship-program-met,Humanities & Arts,Summer,1/15/25,The Met,"New York, NY",10 weeks,"$5,950",No Citizenship Requirements
Cold Spring Harbor Laboratory Undergraduate Research Program,"The Undergraduate Research Program (URP) at Cold Spring Harbor Laboratory (CSHL) is available to sophomores and juniors interested in the following: Molecular Biology & Cancer, Genetics & Genomics, Neuroscience, Plant Biology, and Quantitative Biology. Students come to CSHL for a 10-week summer program where they will work in a lab, attend workshops, and work among CSHL scientists.",https://researchops.web.illinois.edu/opportunity/cold-spring-harbor-laboratory-undergraduate-research-program,"Medicine & Health, Natural Sciences, Science & Technology",Summer,1/15/25,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",10 weeks,"$6,000",No Citizenship Requirements
Cancer-focused Summer Undergraduate Research (CanSUR),"This 10-week program starts with cancer research immersion, followed by mentored research and opportunities for career and networking enrichment to prepare them for their careers. Participants will present their findings at the end of the summer.",https://researchops.web.illinois.edu/opportunity/cancer-focused-summer-undergraduate-research-cansur,Medicine & Health,Summer,1/17/25,Case Western Reserve University,"Cleveland, OH",10 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
Neurotechnology REU Program: Sensorimotor Neural Engineering,"This program provides undergraduate students with opportunities to work on research projects with scientists and to take part in workshop training sessions in ethics, communications, and scientific presentation skills designed to provide the undergraduate scientist with a solid foundation for graduate study. Student projects will focus on cutting edge research at the neurobiology/engineering interface.",https://researchops.web.illinois.edu/opportunity/neurotechnology-reu-program-sensorimotor-neural-engineering,"Medicine & Health, Science & Technology",Summer,Anticipated 1/15/25,University of Washington,"Seattle, WA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Purdue University Summer Undergraduate Research Fellowship (SURF),"The  program provides an action-oriented research experience for selected students to be introduced to the research tools used on the cutting edges of science, engineering, and technology.",https://researchops.web.illinois.edu/opportunity/purdue-university-summer-undergraduate-research-fellowship-surf,Science & Technology,Summer,1/15/25,Purdue University,"West Lafayette, IN",10 weeks,"$6,000",No Citizenship Requirements
Summer Program in Cancer Research (SPCR),"This program offers a summer research experience for undergraduates in cancer genetics, epigenetics, and related fields, including hands-on lab work, mentorship, lectures, and professional development. Students present their findings at a final symposium and may earn co-authorship on research publications.",https://researchops.web.illinois.edu/opportunity/summer-program-cancer-research-spcr,"Medicine & Health, Natural Sciences, Science & Technology",Summer,1/15/25,MD Anderson Cancer Center,"Houston, TX",10 weeks,"$6,800",No Citizenship Requirements
Pharmacology Summer Research Program,"This 10-week research experience involves intensive research with faculty, weekly seminars, professional development, and presentation of your work at the end of summer.",https://researchops.web.illinois.edu/opportunity/pharmacology-summer-research-program,Medicine & Health,Summer,1/17/25,University of Michigan,"Ann Arbor, MI",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Carnegie Mellon Robotics Institute Summer Scholars (RISS),"The RISS program provides undergraduate students with opportunities to participate in a 11-week research immersion. Select students will explore robotics labs and topics, meet with leaders in the field, attend workshops, be coached and mentored, present and publish your research, and grow as a scholar.",https://researchops.web.illinois.edu/opportunity/carnegie-mellon-robotics-institute-summer-scholars-riss,Science & Technology,Summer,1/17/25,Carnegie Mellon University,"Pittsburgh, PA",11 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Summer Undergraduate Research in Acoustics,The Acoustical Society of America (ASA) will be running a 12-week PAID summer undergraduate research program for students interested in the area of Acoustics. This intensive summer program in acoustics is designed for under-represented undergraduate students from across the country.,https://researchops.web.illinois.edu/opportunity/summer-undergraduate-research-acoustics,"Natural Sciences, Science & Technology",Summer,Anticipated 1/21/25,Acoustical Society of America,Various,12 weeks,"$8,300",No Citizenship Requirements
Improving Access to Research and Training (IMPACT) Program,"The IMPACT program provides an 8-week mentored research experience for undergraduate students from backgrounds traditionally underrepresented in health sciences interested in future careers in cardiovascular, pulmonary, hematologic, and sleep disorders research.",https://researchops.web.illinois.edu/opportunity/improving-access-research-and-training-impact-program,Medicine & Health,Summer,Anticipated 1/19/25,Pennsylvania State University,"State College, PA",8 weeks,,"US Citizen, National, or Permanent Resident required"
Natural History Research Experiences (NHRE),"NHRE offers a 10-week summer opportunity for students to work alongside museum scientists to complete a research project in Anthropology, Botany, Entomology, Invertebrate Zoology, Mineral Science, Paleobiology, or Vertebrate Zoology. In addition to the research project, students will a competitive stipend, attend lectures, and receive tours.",https://researchops.web.illinois.edu/opportunity/natural-history-research-experiences-nhre,Natural Sciences,Summer,1/17/25,National Museum of Natural History,"Washington, DC",10 weeks,"$8,000","US Citizen, National, or Permanent Resident required"
National Opinion Research Center (NORC) Summer Internship Program,"NORC’s nine-week summer program provides hands-on experience for students to conduct research in the social sciences, survey research, data analysis, and research methodology.",https://researchops.web.illinois.edu/opportunity/national-opinion-research-center-norc-summer-internship-program,"Data Science, Social Sciences & Behavior",Summer,Anticipated 1/18/25,NORC at the University of Chicago,"Chicago, IL",9 weeks,,"US Citizen, National, or Permanent Resident required"
Health Equity Research Experience (HERE) at Mayo Clinic,Outstanding undergraduates interested in examining health equity through hands-on research are encouraged to apply for a 10-week summer program at Mayo Clinic. Students participating in the Health Equity Research Experience (HERE) will be matched with a faculty mentor and fully immersed in the research and culture of a major medical center with top-notch scientists.,https://researchops.web.illinois.edu/opportunity/health-equity-research-experience-here-mayo-clinic,Medicine & Health,Summer,Anticipated 1/21/25,University of Illinois at Urbana-Champaign,"Champaign, IL",10 weeks,"$6,000",No Citizenship Requirements
Alpine Plant Ecology REU,"Participants will perform independent research in the context of an ongoing long-term study of alpine plants and how they respond to drought and climate change. Students will perform field work, communicate research findings, and participate in weekly professional development workshops.",https://researchops.web.illinois.edu/opportunity/alpine-plant-ecology-reu,Natural Sciences,Summer,1/21/25,The University of California Berkeley,"Gothic, Colorado",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Mickey Leland Energy Fellowship (MLEF) Program,MLEF offers students majoring in STEM the opportunity to complete a cutting-edge research project under the mentorship of scientists and engineers at one of the Department’s National Laboratories or DOE Headquarters.,https://researchops.web.illinois.edu/opportunity/mickey-leland-energy-fellowship-mlef-program,"Natural Sciences, Science & Technology",Summer,1/21/25,U.S. Department of Energy (DOE),Various,10 weeks,"$7,500","US Citizen, National, or Permanent Resident required"
Brain Research Institute Summer Undergraduate Research Experience (BRI-SURE),"BRI-SURE Pathway is an 8-week, intensive summer research- training program for students interested in pursuing research careers in Neuroscience or Physiology. Participants conduct research, receive career guidance, attend workshops, and prepare for graduate programs.",https://researchops.web.illinois.edu/opportunity/brain-research-institute-summer-undergraduate-research-experience-bri-sure,Medicine & Health,Summer,1/22/25,"University of California, Los Angeles","Los Angeles, CA",8 weeks,,"US Citizen, National, or Permanent Resident required"
Significant Opportunities in Atmospheric Research and Science (SOARS) Program,"The NSF SOARS Program fosters research and mentoring in atmospheric and earth-system sciences, offering paid opportunities for underrepresented groups in STEM disciplines.",https://researchops.web.illinois.edu/opportunity/significant-opportunities-atmospheric-research-and-science-soars-program,"Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,1/22/25,University Corporation for Atmospheric Research,"Boulder, CO",11 weeks,"$10,000","US Citizen, National, or Permanent Resident required"
Biomedical Engineering and Informatics Summer Research Internship Program,"The Wake Forest University School of Medicine offers a funded summer research opportunity for undergraduate students. The program includes projects in biomedical engineering and informatics, mentorship, and a focus on societal impact, independent problem-solving, and collaborative work.",https://researchops.web.illinois.edu/opportunity/biomedical-engineering-and-informatics-summer-research-internship-program,"Medicine & Health, Science & Technology",Summer,1/24/25,Wake Forest University,"Winston Salem, NC",10 weeks,,No Citizenship Requirements
Katz and Manne Research Institute Summer Scholars Program,"The program is designed to provide undergraduates summer experiences in research related to childhood health and disease. Summer Scholars spend eight or more weeks working daily with their faculty mentor and research team during the summer. In addition, the Summer Scholars participate in a weekly course to socialize while learning about scientific presentations and careers in science from participating faculty members.",https://researchops.web.illinois.edu/opportunity/katz-and-manne-research-institute-summer-scholars-program,Medicine & Health,Summer,1/24/25,Stanley Manne Children's Research Institute,"Chicago, IL",8 weeks,"$3,500","US Citizen, National, or Permanent Resident required"
Summer STAR (Student Training And Research) Program at Augusta University,The Summer STAR (Student Training And Research) Program provides opportunities for highly motivated and talented undergraduate students to develop skills as young scientists and to further explore their interest in biomedical research. STAR participants are matched to a biomedical research laboratory and engage in a research project under the guidance of a Augusta University faculty member and their lab team. The Summer STAR program provides excellent preparation and relevant experience for students planning to pursue a PhD or MD/PhD in the biomedical sciences.,https://researchops.web.illinois.edu/opportunity/summer-star-student-training-and-research-program-augusta-university,Medicine & Health,Summer,Anticipated 1/24/25,Augusta University,"Augusta, GA",9 weeks,"$4,500","US Citizen, National, or Permanent Resident required"
Lurie Cancer Center Undergraduate Summer Research Internships,"Students are invited to participate in cutting-edge cancer research where they will work full-time alongside leading researchers in various biomedical fields. The program includes hands-on research experience, faculty lectures, skills workshops, and career development activities to help students understand cancer biology and explore potential career paths in the health sciences.",https://researchops.web.illinois.edu/opportunity/lurie-cancer-center-undergraduate-summer-research-internships,"Medicine & Health, Science & Technology",Summer,1/24/25,Northwestern University,"Evanston, IL",8 weeks,"$5,500","US Citizen, National, or Permanent Resident required"
NU-CURE: Cancer Undergraduate Research and Education,"This program offers research experience with top scientists in various cancer-related fields. Students will learn key principles of cancer biology and laboratory investigation, gain hands-on laboratory experience, explore possible career paths and receive career guidance through program seminars and activities, individual mentoring, and ongoing interactions with multidisciplinary researchers, students, and colleagues in the Northwestern community.",https://researchops.web.illinois.edu/opportunity/nu-cure-cancer-undergraduate-research-and-education,Medicine & Health,Summer,1/24/25,Northwestern University,"Chicago, IL",8 weeks,"$5,500","US Citizen, National, or Permanent Resident required"
Ralph Bunche Summer Institute (RBSI) Program,"This program offers a five-week political science experience to undergraduates from underrepresented racial/ethnic groups, or to students interested in pursuing issues that affect underrepresented groups. Students complete a research paper, professional development workshops, and learn about research methods in relation to race/ethnicity in politics.",https://researchops.web.illinois.edu/opportunity/ralph-bunche-summer-institute-rbsi-program,Social Sciences & Behavior,Summer,Anticipated 1/29/25,American Political Science Association,"Durham, NC",5 weeks,,"US Citizen, National, or Permanent Resident required"
Triangle Universities Nuclear Laboratory (TUNL) REU,This program provides students the opportunity to participate in research at the frontiers of nuclear and particle physics.,https://researchops.web.illinois.edu/opportunity/triangle-universities-nuclear-laboratory-tunl-reu,"Natural Sciences, Science & Technology",Summer,1/27/25,Duke University,Varies,10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Jackson Laboratory Summer Student Program,"The  offers undergraduate students an immersive research experience in genetics, genomics, and related fields. Collaborate with leading scientists, gain hands-on skills, and contribute to cutting-edge research at this prestigious biomedical research institution.",https://researchops.web.illinois.edu/opportunity/jackson-laboratory-summer-student-program,"Medicine & Health, Natural Sciences",Summer,1/27/25,The Jackson Laboratory,"Bar Harbor, ME",10 weeks,"$6,500","US Citizen, National, or Permanent Resident required"
University of Utah Summer Program for Undergraduate Research (SPUR),SPUR provides undergraduate students with an intensive 10-week research experience under the mentorship of a University of Utah faculty member. The program provides opportunities to gain research experience in a variety of disciplines.,https://researchops.web.illinois.edu/opportunity/university-utah-summer-program-undergraduate-research-spur,"Data Science, Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,1/26/25,University of Utah,"Salt Lake City, UT",10 weeks,"$5,000",No Citizenship Requirements
Pritzker School of Medicine Summer Pathway Programs,The University of Chicago Pritzker School of Medicine is home to a variety of pathway programs that prepare and inspire talented high school and college students to pursue careers in medicine and in health-related research.,https://researchops.web.illinois.edu/opportunity/pritzker-school-medicine-summer-pathway-programs,Medicine & Health,Summer,1/27/25,University of Chicago Pritzker School of Medicine,"Chicago, IL",8 weeks,"$3,200","US Citizen, National, or Permanent Resident required"
Summer Public Health Scholars Program (SPHSP),SPHSP is designed for undergraduate students and its goal is to increase interest in and knowledge of public health and biomedical science careers.,https://researchops.web.illinois.edu/opportunity/summer-public-health-scholars-program-sphsp,Medicine & Health,Summer,Anticipated 1/30/25,Columbia University,"New York, NY",10 weeks,,"US Citizen, National, or Permanent Resident required"
Summer Program for Undergraduate Researchers (SPUR),"The SPUR program allows talented undergraduates to spend 8 weeks during the summer in a research laboratory at Carnegie Mellon University.  Through technical coursework, support seminars and a professional development series, the program will actively engage students to be reflective while also allowing them to expand their research knowledge.",https://researchops.web.illinois.edu/opportunity/summer-program-undergraduate-researchers-spur,Social Sciences & Behavior,Summer,Anticipated 1/29/25,Carnegie Mellon University,"Pittsburgh, PA",8 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
UCLA Public Health Scholars Training Program,"The  provides undergraduate students the opportunity to explore the field of public health through hands-on training, structured workshops, group excursions, and leadership and professional development. Located in Los Angeles, the program offers scholars the opportunity to train at UCLA, to explore public health in one of the most diverse counties in the US, and to experience the city’s vibrant culture. We work with community-based organizations, health systems, and government agencies to offer field placement opportunities for scholars that focus on health equity.",https://researchops.web.illinois.edu/opportunity/ucla-public-health-scholars-training-program,Medicine & Health,Summer,Anticipated 1/30/25,"University of California, Los Angeles","Los Angeles, CA",8 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
MaineHealth Summer Research Internship Program,"Maine Medical Center Research Institute (MMCRI) provides undergraduates with an opportunity to receive an educational experience in biomedical science through the MMCRI Summer Student Research Program. Research at MMCRI covers a broad area in biomedical science including vascular biology, stem cell biology, developmental biology, neurobiology, hematology, nephrology, tumor biology, and molecular genetics as well as outcomes research, vector-borne diseases, and clinical research.",https://researchops.web.illinois.edu/opportunity/mainehealth-summer-research-internship-program,Medicine & Health,Summer,Anticipated 1/30/25,MaineHealth Institute for Research,"Scarborough, ME",10 weeks,"$6,800",No Citizenship Requirements
Rush University Summer Research Program,"The Summer Undergraduate Research Program is a nine-week, intensive research program for undergraduate students interested in pursuing an advanced degree in the biomedical sciences.",https://researchops.web.illinois.edu/opportunity/rush-university-summer-research-program,Medicine & Health,Summer,Anticipated 1/30/25,Rush University,"Chicago, IL",9 weeks,,"US Citizen, National, or Permanent Resident required"
VR-REU: Research Experience for Undergraduates in Immersive 3D Visualization,This Research Experience for Undergraduates (REU) program in immersive visualization and virtual/augmented/mixed reality (VR/AR/MR) will involve 10 students per summer directly in multidisciplinary research projects. Participants will be provided training in immersive 3D visualization tools and technologies.,https://researchops.web.illinois.edu/opportunity/vr-reu-research-experience-undergraduates-immersive-3d-visualization,"Humanities & Arts, Science & Technology",Summer,Anticipated 1/30/25,Hunter College,"New York City, NY",8 weeks,"$5,600","US Citizen, National, or Permanent Resident required"
Research Triangle – Research Experience for Undergraduates (RT-REU) on Hybrid Perovskite Materials,"The RTNN hosts a collaborative REU site that leverages the strength of collaborative research on hybrid materials, specifically hybrid perovskites, together with the integrated nanotechnology tools of the RTNN to provide a state-of-the-art research experience on a timely research topic that has direct and tangible technological applications (e.g. solar cells, lighting, lasers)",https://researchops.web.illinois.edu/opportunity/research-triangle-research-experience-undergraduates-rt-reu-hybrid-perovskite-materials,"Natural Sciences, Science & Technology",Summer,Anticipated 1/30/25,Duke University,"Durham, NC",10 weeks,,"US Citizen, National, or Permanent Resident required"
Summer Internship Program at The Counseling Center at Pace University,"This summer program provides interns with the opportunity to experience the diverse functions of a professional psychologist in a university counseling center (including didactic seminars, scholarly research, outreach and consultation, and exposure to clinical work). Internship is part-time, unpaid, and for rising seniors.",https://researchops.web.illinois.edu/opportunity/summer-internship-program-counseling-center-pace-university,Social Sciences & Behavior,Summer,Anticipated 1/30/25,Pace University,"New York, NY",5 weeks,Unpaid,No Citizenship Requirements
Rainfed Agriculture Innovation Network (RAIN) REU,This program is designed to provide future engineers and scientists with the skills and perspective necessary to address some of the world’s future food and fiber needs.,https://researchops.web.illinois.edu/opportunity/rainfed-agriculture-innovation-network-rain-reu,"Agriculture & Food Sciences, Natural Sciences",Summer,Anticipated 1/31/25,Rainfed Agriculture Innovation Network,Various,9 weeks,"$9,000","US Citizen, National, or Permanent Resident required"
Molecular and Integrative Physiology (MIP) Summer Undergraduate Research Fellowship,"Embark on a transformative research journey with the MIP Summer Undergraduate Research Fellowship at the University of Michigan. Open to all degree-seeking students, this program fuels your passion for physiology and biomedical sciences. Dive into cutting-edge research areas, from hormones and signal transduction to cardiovascular health and more.",https://researchops.web.illinois.edu/opportunity/molecular-and-integrative-physiology-mip-summer-undergraduate-research-fellowship,"Medicine & Health, Science & Technology",Summer,Anticipated 1/30/25,University of Michigan,"Ann Arbor, MI",12 weeks,"$7,200",No Citizenship Requirements
